Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Mein Appetit auf Fleisch war vollständig zurückgegangen, aber ich war immer noch unsicher, ob mir eine fleischfreie Ernährung (in the long run){{c1::auf Dauer}} genügen könnte.		
Aber trotz aller Begeisterung war ich immer noch ein (practical){{c1::praktisch veranlagter}} Mensch.		
Als ich 145 Kilometer hinter {{c1::mich}} gebracht hatte, war es Nacht.		
Ich lief, als hätte ich (only){{c1::lediglich}} 15 Kilometer hinter mir statt 145.		
Ich lief, als hätte ich lediglich 15 Kilometer hinter {{c1::mir}} statt 145.		
Ich lief, als hätte ich lediglich 15 Kilometer hinter mir (instead of){{c1::statt}} 145.		
Als ich über die Ziellinie rannte, wusste ich, dass ich den zweiten Platz (won){{c1::errungen}} hatte.		
(One of the biggest questions){{c1::Eine der größten Fragen}}, die sich mir als Ultramarathonläufer stellte, als ich auf vegane Ernährung umstieg, war die: Wie bekomme ich es hin, genügend Eiweiß aufzunehmen?		
Eine der größten Fragen, die sich mir als Ultramarathonläufer stellte, (when I changed to a vegan diet){{c1::als ich auf vegane Ernährung umstieg}}, war die: Wie bekomme ich es hin, genügend Eiweiß aufzunehmen?		
Eine der größten Fragen, die sich mir als Ultramarathonläufer stellte, als ich auf vegane Ernährung umstieg, war die: (How do I manage to get enough protein){{c1::Wie bekomme ich es hin, genügend Eiweiß aufzunehmen}}?		
Mike Morton, ein aus Maryland stammender Taucher der Navy, war bereits 1996 angetreten, hatte das Rennen aber nicht (held out to the end){{c1::bis zum Ende durchgehalten}}.		
Auf 160 schwierigen Kilometern gegen die besten Langstreckenläufer der Welt (to compete){{c1::anzutreten}} würde mir diesen Schmerz verschaffen.		
(The race traces back to a day in 1955){{c1::Das Rennen geht auf einen Tag im Jahr 1955 zurück}}, an dem ein Geschäftsmann aus Nordkalifornien namens Wendell T. Robie ohne Pause 160 Kilometer zu Pferd zurücklegte.		
Das Rennen {{c1::geht}} auf einen Tag im Jahr 1955 zurück, an dem ein Geschäftsmann aus Nordkalifornien namens Wendell T. Robie ohne Pause 160 Kilometer zu Pferd zurücklegte.		
Das Rennen geht {{c1::auf}} einen Tag im Jahr 1955 zurück, an dem ein Geschäftsmann aus Nordkalifornien namens Wendell T. Robie ohne Pause 160 Kilometer zu Pferd zurücklegte.		
Das Rennen geht auf {{c1::einen Tag}} im Jahr 1955 zurück, an dem ein Geschäftsmann aus Nordkalifornien namens Wendell T. Robie ohne Pause 160 Kilometer zu Pferd zurücklegte.		
Das Rennen geht auf einen Tag (in 1955){{c1::im Jahr 1955}} zurück, an dem ein Geschäftsmann aus Nordkalifornien namens Wendell T. Robie ohne Pause 160 Kilometer zu Pferd zurücklegte.		
Das Rennen geht auf einen Tag im Jahr 1955 {{c1::zurück}}, an dem ein Geschäftsmann aus Nordkalifornien namens Wendell T. Robie ohne Pause 160 Kilometer zu Pferd zurücklegte.		
Das Rennen geht auf einen Tag im Jahr 1955 zurück, an dem ein Geschäftsmann aus Nordkalifornien namens Wendell T. Robie ohne Pause 160 Kilometer zu Pferd (covered){{c1::zurücklegte}}.		
Es war einem bemerkenswerten Mann namens Gordy Ainsleigh und seinem nicht ganz so bemerkenswerten Pferd (be attributed){{c1::zuzuschreiben}}, dass sich das Rennen in einen Fußlauf verwandelte.		
Es war einem bemerkenswerten Mann namens Gordy Ainsleigh und seinem nicht ganz so bemerkenswerten Pferd zuzuschreiben, (that the race transformed into a footrace){{c1::dass sich das Rennen in einen Fußlauf verwandelte}}.		
Genau deshalb fand ich Außenseiter wie Newton und Cerutty so faszinierend. Sie waren Menschen, die (of their own accord){{c1::aus eigenem Antrieb}} über das hinausgegangen waren, was andere vorgaben.		
Genau deshalb fand ich Außenseiter wie Newton und Cerutty so (fascinating){{c1::faszinierend}}. Sie waren Menschen, die aus eigenem Antrieb über das hinausgegangen waren, was andere vorgaben.		
Genau deshalb fand ich Außenseiter wie Newton und Cerutty so faszinierend. Sie waren Menschen, die aus eigenem Antrieb (went beyond that){{c1::über das hinausgegangen waren}}, was andere vorgaben.		
Eine schwierige Kindheit. Ein unkonventioneller, komplexer Trainingsansatz. Die gleichzeitig intellektuelle und intuitive Beschäftigung mit dem Laufen, die mit kindlicher Freude belohnt wird. (That all sounded familiar){{c1::All das klang vertraut}}.		
Während ich ständig nach dem Warum fragte und alle Optionen (carefully){{c1::sorgfältig}} gegeneinander abwog, nahm sich Dusty einfach, was er wollte.		
Während ich ständig nach dem Warum fragte und alle Optionen sorgfältig gegeneinander (weighed up){{c1::abwog}}, nahm sich Dusty einfach, was er wollte.		
Während ich ständig nach dem Warum fragte und alle Optionen sorgfältig (against eachother){{c1::gegeneinander}} abwog, nahm sich Dusty einfach, was er wollte.		
Während ich ständig nach dem Warum fragte und alle Optionen sorgfältig (weighed up against eachother){{c1::gegeneinander abwog}}, nahm sich Dusty einfach, was er wollte.		
Während ich ständig (for){{c1::nach}} dem Warum fragte und alle Optionen sorgfältig gegeneinander abwog, nahm sich Dusty einfach, was er wollte.		
(The simplelest way){{c1::Die simpelste Art}}, besser zu werden, ist allerdings, einfach schneller zu rennen.		
(Train towards){{c1::Trainieren Sie darauf hin}}, dass Sie fünf Minuten an dieser Schwelle laufen können. Danach gönnen Sie sich eine Minute langsamen Dauerlauf, um Ihrem Körper Zeit zum Regenerieren zu geben, und wiederholen das Ganze.		
Trainieren Sie darauf hin, dass Sie fünf Minuten (at this threshold){{c1::an dieser Schwelle}} laufen können. Danach gönnen Sie sich eine Minute langsamen Dauerlauf, um Ihrem Körper Zeit zum Regenerieren zu geben, und wiederholen das Ganze.		
Trainieren Sie darauf hin, dass Sie fünf Minuten an dieser Schwelle laufen können. Danach (allow yourself){{c1::gönnen Sie sich}} eine Minute langsamen Dauerlauf, um Ihrem Körper Zeit zum Regenerieren zu geben, und wiederholen das Ganze.		
Trainieren Sie darauf hin, dass Sie fünf Minuten an dieser Schwelle laufen können. Danach gönnen Sie sich eine Minute langsamen Dauerlauf, (to give your body time to regenerate){{c1::um Ihrem Körper Zeit zum Regenerieren zu geben}}, und wiederholen das Ganze.		
Trainieren Sie darauf hin, dass Sie fünf Minuten an dieser Schwelle laufen können. Danach gönnen Sie sich eine Minute langsamen Dauerlauf, um Ihrem Körper Zeit zum Regenerieren zu geben, und (repeat the whole thing){{c1::wiederholen das Ganze}}.		
Ich antwortete Ian, ich hätte reichlich getrunken und gepisst und (felt good){{c1::fühlte mich wohl}}. Und das stimmte sogar - obwohl „wohlfühlen“ natürlich ein relativer Begriff ist.		
Ich antwortete Ian, ich hätte reichlich getrunken und gepisst und fühlte mich wohl. Und das stimmte sogar - obwohl „wohlfühlen“ natürlich (a relative concept){{c1::ein relativer Begriff ist}}.		
Immerhin hatte ich gerade zu Fuß eine Strecke hinter {{c1::mich}} gebracht, für die man mit dem Auto auf der Autobahn eine Stunde brauchen würde.		
Immerhin hatte ich gerade zu Fuß eine Strecke hinter mich gebracht, (that you would need an hour with the car on the motorway for){{c1::für die man mit dem Auto auf der Autobahn eine Stunde brauchen würde}}.		
(I had to first think for a moment){{c1::Ich musste erst einen Moment nachdenken}}. Wie ging es meinen Füßen? Wo er es jetzt erwähnte - ja, sie taten weh.		
Ich musste erst einen Moment nachdenken. (How are my feet doing){{c1::Wie ging es meinen Füßen}}? Wo er es jetzt erwähnte - ja, sie taten weh.		
Ich musste erst einen Moment nachdenken. Wie ging es meinen Füßen? (Now that he mentioned it){{c1::Wo er es jetzt erwähnte}} - ja, sie taten weh.		
(With a core temperature){{c1::Bei einer Kerntemperatur}} von mehr als 39 Grad Celsius würden meine Körperfunktionen verrückt spielen. Zum Glück hatte ich bereits eine Woche lang in Kalifornien trainiert, sodass sich mein Körper auf die Hitze hatte einstellen können.		
Bei einer Kerntemperatur von mehr als 39 Grad Celsius würden meine Körperfunktionen verrückt spielen. (Luckily){{c1::Zum Glück}} hatte ich bereits eine Woche lang in Kalifornien trainiert, sodass sich mein Körper auf die Hitze hatte einstellen können.		
Bei einer Kerntemperatur von mehr als 39 Grad Celsius würden meine Körperfunktionen verrückt spielen. Zum Glück hatte ich bereits eine Woche lang in Kalifornien trainiert, sodass sich mein Körper (get used to the heat){{c1::auf die Hitze hatte einstellen}} können.		
Bei einer Kerntemperatur von mehr als 39 Grad Celsius würden meine Körperfunktionen (go haywire){{c1::verrückt spielen}}. Zum Glück hatte ich bereits eine Woche lang in Kalifornien trainiert, sodass sich mein Körper auf die Hitze hatte einstellen können.		
Pro Stunde hatte ich ungefähr 300 Kalorien zu {{c1::mir}} genommen.		
Pro Stunde hatte ich ungefähr 300 Kalorien zu mir {{c1::genommen}}.		
(Without saying a word){{c1::Ohne ein Wort darüber zu verlieren}}, zogen Ian und ich das Tempo an.		
Ich bin mir absolut sicher, dass (not one of the participants){{c1::kein einziger Teilnehmer}} des Western States 100 wusste, ob er die Strecke zu Ende bringen würde - vom Gewinnen mal ganz zu schweigen. Und da schließe ich mich ausdrücklich mit ein.		
Ich bin mir absolut sicher, dass kein einziger Teilnehmer des Western States 100 wusste, ob er die Strecke (complete){{c1::zu Ende bringen}} würde - vom Gewinnen mal ganz zu schweigen. Und da schließe ich mich ausdrücklich mit ein.		
Ich bin mir absolut sicher, dass kein einziger Teilnehmer des Western States 100 wusste, ob er die Strecke zu Ende bringen würde - (much less win){{c1::vom Gewinnen mal ganz zu schweigen}}. Und da schließe ich mich ausdrücklich mit ein.		
Ich bin mir absolut sicher, dass kein einziger Teilnehmer des Western States 100 wusste, ob er die Strecke zu Ende bringen würde - vom Gewinnen mal ganz zu schweigen. (And I explicitly include myself in there){{c1::Und da schließe ich mich ausdrücklich mit ein}}.		
(I had set myself a goal){{c1::Ich hatte mir ein Ziel gesetzt}}, und ich hatte es erreicht.		
Ich hatte mir ein Ziel gesetzt, (and I had reached it){{c1::und ich hatte es erreicht}}.		
Nicht nur, dass ich mich (to the outer limits){{c1::bis an die äußersten Grenzen}} meiner Leistungsfähigkeit und darüber hinaus gefordert hatte - nein, ich hatte das auch noch mithilfe rein pflanzlicher Ernährung geschafft.		
Nicht nur, dass ich mich bis an die äußersten Grenzen meiner (ability){{c1::Leistungsfähigkeit}} und darüber hinaus gefordert hatte - nein, ich hatte das auch noch mithilfe rein pflanzlicher Ernährung geschafft.		
Nicht nur, dass ich mich bis an die äußersten Grenzen meiner Leistungsfähigkeit und (beyond){{c1::darüber hinaus}} gefordert hatte - nein, ich hatte das auch noch mithilfe rein pflanzlicher Ernährung geschafft.		
Nicht nur, dass ich mich bis an die äußersten Grenzen meiner Leistungsfähigkeit und darüber hinaus gefordert hatte - nein, ich hatte das auch noch (through){{c1::mithilfe}} rein pflanzlicher Ernährung geschafft.		
(Now){{c1::Nun}} wollte ich allen zeigen, dass mein Erfolg alles andere als Zufall gewesen war.		
Nun wollte ich (everyone){{c1::allen}} zeigen, dass mein Erfolg alles andere als Zufall gewesen war.<br />		
Nun wollte ich allen zeigen, dass mein Erfolg (anything but coincidence){{c1::alles andere als Zufall}} gewesen war.		
(First of all){{c1::Zuerst}} arbeitete ich einen verbesserten Trainingsplan aus.		
Zuerst (I drew up an improved training plan){{c1::arbeitete ich einen verbesserten Trainingsplan aus}}.		
Zuerst arbeitete ich einen verbesserten Trainingsplan {{c1::aus}}.		
(Of course I wanted to beat other runners){{c1::Natürlich wollte ich andere Läufer besiegen}}. Aber dazu musste ich meine Fortschritte an mir selbst messen, nicht an anderen.		
Natürlich wollte ich andere Läufer besiegen. (But for that){{c1::Aber dazu}} musste ich meine Fortschritte an mir selbst messen, nicht an anderen.		
Da ich mein Training nun intelligenter und durchdachter (approached){{c1::anging}}, lief ich nicht mehr so weit. Viele Ultramarathonläufer laufen 200 bis 225 Kilometer pro Woche; ich dagegen kam auf 145 bis 175.		
Da ich mein Training nun intelligenter und (more thought out){{c1::durchdachter}} anging, lief ich nicht mehr so weit. Viele Ultramarathonläufer laufen 200 bis 225 Kilometer pro Woche; ich dagegen kam auf 145 bis 175.		
Da ich (my){{c1::mein}} Training nun intelligenter und durchdachter anging, lief ich nicht mehr so weit. Viele Ultramarathonläufer laufen 200 bis 225 Kilometer pro Woche; ich dagegen kam auf 145 bis 175.		
Da ich mein Training nun intelligenter und durchdachter anging, lief ich nicht mehr so weit. Viele Ultramarathonläufer laufen 200 bis 225 Kilometer pro Woche; ich (on the other hand){{c1::dagegen}} kam auf 145 bis 175.		
Trotzdem gab ich mehr Geld (than ever){{c1::denn je}} für Essen aus, und auf meiner Kreditkarte war ein hoher Betrag aufgelaufen.		
Trotzdem gab ich mehr Geld denn je für Essen aus, und (on my credit card){{c1::auf meiner Kreditkarte}} war ein hoher Betrag aufgelaufen.		
Trotzdem gab ich mehr Geld denn je für Essen aus, und auf meiner Kreditkarte war (a high amount){{c1::ein hoher Betrag}} aufgelaufen.		
Trotzdem gab ich mehr Geld denn je für Essen aus, und auf meiner Kreditkarte war ein hoher Betrag (ran up){{c1::aufgelaufen}}.		
(My ambition){{c1::Mein Ehrgeiz}}, mich ständig weiter zu steigern, ließ einfach nicht zu, dass ich an dieser Stelle sparte.		
Mein Ehrgeiz, (to always improve){{c1::mich ständig weiter zu steigern}}, ließ einfach nicht zu, dass ich an dieser Stelle sparte.		
Mein Ehrgeiz, mich ständig weiter zu steigern, (simply didn't allow){{c1::ließ einfach nicht zu}}, dass ich an dieser Stelle sparte.		
(But one thing is clear){{c1::Aber eins ist klar}}: Ohne Dusty hätte ich bei Weitem nicht so viel Spaß gehabt und wahrscheinlich auch nicht das erreicht, was ich erreicht habe.		
Aber eins ist klar: Ohne Dusty hätte ich (by far){{c1::bei Weitem}} nicht so viel Spaß gehabt und wahrscheinlich auch nicht das erreicht, was ich erreicht habe.		
Nach dem Essen urteilte er meist: „Na ja, (still better than a kick in the balls){{c1::immer noch besser als ein Tritt in die Eier}}.“		
Wenn ich (at the holidays){{c1::zu Festtagen}} nach Hause komme und mich an die gedeckte Tafel setze, fragt mich bestimmt jemand, warum ich nichts vom Schinken nehme. Ich behaupte dann immer, ich hätte schon welchen gegessen oder sei satt, denn ich will niemandem auf die Füße treten.		
Wenn ich zu Festtagen nach Hause komme (and sit at the set table){{c1::und mich an die gedeckte Tafel setze}}, fragt mich bestimmt jemand, warum ich nichts vom Schinken nehme. Ich behaupte dann immer, ich hätte schon welchen gegessen oder sei satt, denn ich will niemandem auf die Füße treten.		
Wenn ich zu Festtagen nach Hause komme und mich an die gedeckte Tafel setze, fragt mich bestimmt jemand, warum ich nichts vom Schinken nehme. Ich behaupte dann immer, ich hätte schon welchen gegessen oder sei satt, (as I dont want to step on anyone's toes){{c1::denn ich will niemandem auf die Füße treten}}.		
Wenn ich zu Festtagen nach Hause komme und mich an die gedeckte Tafel setze, fragt mich bestimmt jemand, warum ich nichts vom Schinken nehme. Ich behaupte dann immer, ich hätte schon welchen gegessen oder sei satt, denn ich will (no one){{c1::niemandem}} auf die Füße treten.		
Wenn ich zu Festtagen nach Hause komme und mich an die gedeckte Tafel setze, fragt mich bestimmt jemand, warum ich nichts vom Schinken nehme. Ich behaupte dann immer, ich hätte schon welchen gegessen oder sei satt, denn ich will niemandem {{c1::auf}} die Füße treten.		
Wenn ich zu Festtagen nach Hause komme und mich an die gedeckte Tafel setze, fragt mich bestimmt jemand, warum ich nichts vom Schinken nehme. Ich behaupte dann immer, ich hätte schon welchen gegessen oder sei satt, denn ich will niemandem auf {{c1::die}} Füße treten.		
Wenn ich zu Festtagen nach Hause komme und mich an die gedeckte Tafel setze, fragt mich bestimmt jemand, warum ich nichts vom Schinken nehme. Ich behaupte dann immer, ich hätte schon welchen gegessen oder sei satt, denn ich will niemandem auf die {{c1::Füße}} treten.		
Alle diese Bücher (agree){{c1::stimmen darin überein}}, dass es beim Laufen um mehr geht als lediglich um Geschwindigkeit, Ausdauer und Sieg.		
Alle diese Bücher stimmen darin überein, (that running is more than just speed, endurance and winning){{c1::dass es beim Laufen um mehr geht als lediglich um Geschwindigkeit, Ausdauer und Sieg}}.		
(It is a lonely sport){{c1::Es ist ein einsamer Sport}}. Um zu siegen, muss man alles bis auf den nächsten Schritt und den danach ausblenden.		
Es ist ein einsamer Sport. Um zu siegen, muss man alles (apart from the next step){{c1::bis auf den nächsten Schritt}} und den danach ausblenden.		
Es ist ein einsamer Sport. Um zu siegen, muss man alles bis auf den nächsten Schritt (and the one after){{c1::und den danach}} ausblenden.		
Es ist ein einsamer Sport. Um zu siegen, muss man alles bis auf den nächsten Schritt und den danach (block out){{c1::ausblenden}}.		
(Don't work towards freedom){{c1::Arbeitet nicht auf die Freiheit hin}}, sondern sorgt dafür, dass die Arbeit selbst zur Freiheit wird.		
Arbeitet nicht {{c1::auf}} die Freiheit hin, sondern sorgt dafür, dass die Arbeit selbst zur Freiheit wird.		
Arbeitet nicht auf {{c1::die}} Freiheit hin, sondern sorgt dafür, dass die Arbeit selbst zur Freiheit wird.		
Arbeitet nicht auf die Freiheit {{c1::hin}}, sondern sorgt dafür, dass die Arbeit selbst zur Freiheit wird.		
(At the same time){{c1::Zur gleichen Zeit}} sprang ein Nahrungsmittelsponsor ab, und so fing ich an, mein eigenes Energie-Gel herzustellen.		
Zur gleichen Zeit (popped up a food company sponsor){{c1::sprang ein Nahrungsmittelsponsor ab}}, und so fing ich an, mein eigenes Energie-Gel herzustellen.		
Zur gleichen Zeit sprang ein Nahrungsmittelsponsor ab, und {{c1::so}} fing ich an, mein eigenes Energie-Gel herzustellen.		
(On the odd occasion){{c1::Bei den seltenen Gelegenheiten}}, bei denen ich mir einmal den Fuß verstauchte oder mir bei einem Fall Ellenbogen oder Knie verletzte, heilten die Verletzungen deutlich schneller als je zuvor.		
Bei den seltenen Gelegenheiten, (when){{c1::bei denen}} ich mir einmal den Fuß verstauchte oder mir bei einem Fall Ellenbogen oder Knie verletzte, heilten die Verletzungen deutlich schneller als je zuvor.		
Bei den seltenen Gelegenheiten, bei denen ich mir einmal den Fuß (sprained){{c1::verstauchte}} oder mir bei einem Fall Ellenbogen oder Knie verletzte, heilten die Verletzungen deutlich schneller als je zuvor.		
Bei den seltenen Gelegenheiten, bei denen ich mir einmal (my foot){{c1::den Fuß}} verstauchte oder mir bei einem Fall Ellenbogen oder Knie verletzte, heilten die Verletzungen deutlich schneller als je zuvor.		
Bei den seltenen Gelegenheiten, bei denen ich mir einmal den Fuß verstauchte oder mir bei einem Fall Ellenbogen oder Knie verletzte, heilten die Verletzungen deutlich schneller (than ever before){{c1::als je zuvor}}.		
Diese (Competitions){{c1::Wettkämpfe}} waren echte Höhepunkte für mich, aber mindestens genauso wichtig waren mir jeweils die Wochen davor.		
Diese Wettkämpfe waren echte (highlight){{c1::Höhepunkte}} für mich, aber mindestens genauso wichtig waren mir jeweils die Wochen davor.		
Diese Wettkämpfe waren echte Höhepunkte für mich, (but at least as important){{c1::aber mindestens genauso wichtig}} waren mir jeweils die Wochen davor.		
Diese Wettkämpfe waren echte Höhepunkte für mich, aber mindestens genauso wichtig waren mir (the weeks before each){{c1::jeweils die Wochen davor}}.		
Heute (is){{c1::liegt}} der Startpunkt des 217-Kilometer-Rennens im Death Valley, also 85 Meter unter dem Meeresspiegel.		
Heute liegt der Startpunkt des 217-Kilometer-Rennens im Death Valley, also 85 Meter (below sea level){{c1::unter dem Meeresspiegel}}.		
(More than one documentary had been made about the race){{c1::Mehr als ein Dokumentarfilm wurde über das Rennen gedreht}}. Zum Teil ist das darauf zurückzuführen, dass Chris Kostman, der Rennleiter, ein PR-Genie ist.		
Mehr als ein Dokumentarfilm wurde über das Rennen gedreht. (It goes back partly to){{c1::Zum Teil ist das darauf zurückzuführen}}, dass Chris Kostman, der Rennleiter, ein PR-Genie ist.		
Mike Sweeney (overtook me){{c1::überholte mich}} auf Kilometer 24, aber das bereitete mir keinerlei Kopfzerbrechen.		
Mike Sweeney überholte mich (in kilometer 24){{c1::auf Kilometer 24}}, aber das bereitete mir keinerlei Kopfzerbrechen.		
Mike Sweeney überholte mich auf Kilometer 24, (but that didn't worry me at all){{c1::aber das bereitete mir keinerlei Kopfzerbrechen}}.		
Die Tarahumara kämpften (in difficult conditions){{c1::unter schwierigen Bedingungen}} um ihr Überleben.		
15 Kilometer weiter machten die Tarahumara (no signs of slowing down){{c1::keine Anstalten, langsamer zu werden}}. Aber mir bereitete das kein Kopfzerbrechen, denn ich wusste, welche Auswirkungen große Distanzen auf den Körper haben.		
15 Kilometer weiter machten die Tarahumara keine Anstalten, langsamer zu werden. Aber mir bereitete das kein Kopfzerbrechen, denn ich wusste, welche (effects){{c1::Auswirkungen}} große Distanzen auf den Körper haben.		
15 Kilometer weiter machten die Tarahumara keine Anstalten, langsamer zu werden. Aber mir bereitete das kein Kopfzerbrechen, denn ich wusste, welche Auswirkungen große Distanzen (have on the body){{c1::auf den Körper haben}}.		
(I maintained my speed){{c1::Ich behielt mein Tempo bei}} und nahm wie gewohnt 200 bis 300 Kalorien pro Stunde zu mir.		
Ich behielt mein Tempo bei und nahm (my usual){{c1::wie gewohnt}} 200 bis 300 Kalorien pro Stunde zu mir.		
Jeder, der ein bisschen darauf achtet, was er zu sich nimmt und (what effects that has on his body){{c1::welche Auswirkungen das auf seinen Körper hat}}, wird sich automatisch stärker pflanzlichen Lebensmitteln zuwenden und sich dadurch gesünder ernähren.		
Jeder, (who watches){{c1::der ein bisschen darauf achtet}}, was er zu sich nimmt und welche Auswirkungen das auf seinen Körper hat, wird sich automatisch stärker pflanzlichen Lebensmitteln zuwenden und sich dadurch gesünder ernähren.		
Jeder, der ein bisschen darauf achtet, (what he eats){{c1::was er zu sich nimmt}} und welche Auswirkungen das auf seinen Körper hat, wird sich automatisch stärker pflanzlichen Lebensmitteln zuwenden und sich dadurch gesünder ernähren.		
Wir Ultraläufer müssen unser Training (well though out){{c1::durchdacht}} und mit so viel Wissen wie möglich angehen, aber wir können es uns nicht erlauben, dabei unflexibel zu werden.		
Wir Ultraläufer müssen unser Training durchdacht und (with as much knowledge as possible){{c1::mit so viel Wissen wie möglich}} angehen, aber wir können es uns nicht erlauben, dabei unflexibel zu werden.		
Wir Ultraläufer müssen unser Training durchdacht und mit so viel Wissen wie möglich (approach){{c1::angehen}}, aber wir können es uns nicht erlauben, dabei unflexibel zu werden.		
(The human ran after his food){{c1::Der Mensch rannte seinem Essen nach}} und vor Raubtieren davon. Je nach Jahreszeit herrschte Hunger oder Überfluss, und wenn man nicht gerade schlief, dann lief man meistens.		
Der Mensch rannte seinem Essen nach (away from predators){{c1::und vor Raubtieren davon}}. Je nach Jahreszeit herrschte Hunger oder Überfluss, und wenn man nicht gerade schlief, dann lief man meistens.		
Der Mensch rannte seinem Essen nach und vor Raubtieren davon. (Depending on the time of year){{c1::Je nach Jahreszeit}} herrschte Hunger oder Überfluss, und wenn man nicht gerade schlief, dann lief man meistens.		
Der Mensch rannte seinem Essen nach und vor Raubtieren davon. Je nach Jahreszeit {{c1::herrschte}} Hunger oder Überfluss, und wenn man nicht gerade schlief, dann lief man meistens.		
Der Mensch rannte seinem Essen nach und vor Raubtieren davon. Je nach Jahreszeit herrschte Hunger oder Überfluss, und (and if you weren't sleeping,you were usually running){{c1::wenn man nicht gerade schlief, dann lief man meistens}}.		
Der Mensch rannte seinem Essen nach und vor Raubtieren davon. Je nach Jahreszeit herrschte Hunger oder Überfluss, und wenn man nicht gerade schlief, dann lief man (usually){{c1::meistens}}.		
Heutzutage sitzen wir fast (constantly){{c1::dauernd}}. Wir fahren Auto, surfen im Internet und sehen fern.		
(There was still eight kilometers before us){{c1::Vor uns lagen noch acht Kilometer}}, und er hatte sieben oder acht Minuten Vorsprung vor mir. Ich glaubte, ihn einholen zu können.		
Vor uns lagen noch acht Kilometer, und (he had a seven or eight minute lead on me){{c1::er hatte sieben oder acht Minuten Vorsprung vor mir}}. Ich glaubte, ihn einholen zu können.		
Vor uns lagen noch acht Kilometer, und er hatte sieben oder acht Minuten Vorsprung vor mir. (I thought I could catch up with him){{c1::Ich glaubte, ihn einholen zu können}}.		
Aber es war angenehm. Das ist vielleicht ein etwas schwacher Begriff, aber wenn man diese Erfahrung mit den extremen Höhen und Tiefen vergleicht, die ich bereits beim Western States (been through){{c1::durchlebt}} hatte, dann trifft er zu.		
Aber es war angenehm. Das ist vielleicht ein etwas schwacher Begriff, aber (when you compare this experience with the extreme high and low points){{c1::wenn man diese Erfahrung mit den extremen Höhen und Tiefen vergleicht}}, die ich bereits beim Western States durchlebt hatte, dann trifft er zu.		
Aber es war angenehm. Das ist vielleicht ein etwas schwacher Begriff, aber wenn man diese Erfahrung mit den extremen Höhen und Tiefen vergleicht, die ich bereits beim Western States durchlebt hatte, dann (it fits){{c1::trifft er zu}}.		
Also (he changed up a gear){{c1::schaltete er einen Gang herauf}} und wurde plötzlich zu einem anderen Läufer.		
Also schaltete er einen Gang herauf und (and became suddenly a different runner){{c1::wurde plötzlich zu einem anderen Läufer}}.		
Brian erzählte mir, (that it hurt to run uphill){{c1::dass ihm das Bergablaufen wehtat}}, aber ich antwortete, Schmerzen seien nur etwas Vorübergehendes, durch das er hindurch müsste.		
Brian erzählte mir, dass ihm das Bergablaufen wehtat, aber ich antwortete, (pain is something temporary){{c1::Schmerzen seien nur etwas Vorübergehendes}}, durch das er hindurch müsste.		
Brian erzählte mir, dass ihm das Bergablaufen wehtat, aber ich antwortete, Schmerzen seien nur etwas Vorübergehendes, (that er had to get through){{c1::durch das er hindurch müsste}}.		
Um vier Uhr früh, (after another climb){{c1::nach einem weiteren Anstieg}} und einem weiteren Abstieg, nahm die Landschaft um uns Gestalt an.		
Um vier Uhr früh, nach einem weiteren Anstieg und (another descent){{c1::einem weiteren Abstieg}}, nahm die Landschaft um uns Gestalt an.		
Um vier Uhr früh, nach einem weiteren Anstieg und einem weiteren Abstieg, (the landscape around us took shape){{c1::nahm die Landschaft um uns Gestalt an}}.		
(It was almost a spirituell experience){{c1::Es war eine beinahe spirituelle Erfahrung}}, zu sehen, wie der neue Tag in den Bergen zu leuchten begann.		
Das Miso ersetzt dabei die Salze und andere Elektrolyte, (that the body loses through sweating){{c1::die dem Körper durchs Schwitzen verloren gehen}}.		
(On the next morning){{c1::Am nächsten Morgen}} war der Zeh schwarzblau und schien nur noch am Fuß zu hängen. Ich war mir ziemlich sicher, dass ich ihn mir gebrochen hatte.		
Am nächsten Morgen war (the toe){{c1::der Zeh}} schwarzblau und schien nur noch am Fuß zu hängen. Ich war mir ziemlich sicher, dass ich ihn mir gebrochen hatte.		
Am nächsten Morgen war der Zeh schwarzblau und schien nur noch am Fuß zu hängen. Ich war mir ziemlich sicher, dass ich ihn {{c1::mir}} gebrochen hatte.		
Am nächsten Morgen war der Zeh schwarzblau und schien nur noch am Fuß zu hängen. Ich war mir ziemlich sicher, dass ich {{c1::ihn}} mir gebrochen hatte.		
Ich glaube nicht, dass jemand anfängt, (to run long distance){{c1::Langstrecken zu laufen}}, um diese Art von visionärem Bewusstsein zu erlangen. Für mich galt das jedenfalls ganz bestimmt nicht. Aber ich bin überzeugt, dass jeder, der regelmäßig Ultrastrecken läuft, früher oder später an diesen Punkt gelangt.		
Ich glaube nicht, dass jemand anfängt, Langstrecken zu laufen, um diese Art von visionärem Bewusstsein zu erlangen. Für mich galt das jedenfalls ganz bestimmt nicht. Aber ich bin überzeugt, dass jeder, der regelmäßig Ultrastrecken läuft, (sooner or later){{c1::früher oder später}} an diesen Punkt gelangt.		
